,entrezid
646,728464
647,8574
648,51154
649,4826
650,55850
651,23101
652,83714
653,3909
654,55745
655,29945
656,27095
657,9967
658,29085
659,954
660,4065
661,51742
662,23596
663,10806
664,5798
665,55733
666,23095
667,2296
668,25771
669,23224
670,57475
671,10079
672,25884
673,23201
674,84957
675,2581
676,51602
677,26099
678,3757
679,8454
680,10827
681,26999
682,23118
683,116254
684,5610
685,57602
686,58508
687,55283
688,114800
689,23369
690,84545
691,3700
692,3697
693,54969
694,51663
695,55609
696,7185
697,54542
698,55540
699,10758
700,8908
701,131566
702,6646
703,5318
704,4438
705,2155
706,2665
707,639
708,9474
709,57458
710,57095
711,57504
712,8975
713,23200
714,3918
715,5218
716,29927
717,4659
718,5923
719,816
720,9696
721,55718
722,493
723,9877
724,55781
725,54432
726,55706
727,1608
728,84256
729,64718
730,6916
731,64761
732,5832
733,6894
734,5188
735,4084
736,5128
737,548645
738,6515
739,5662
740,9150
741,8531
742,55359
743,65125
744,55749
745,11054
746,55650
747,10076
748,9410
749,1301
750,79832
751,51660
752,30
753,586
754,51564
755,11178
756,93166
757,6676
758,10787
759,60488
760,2983
761,6433
762,10188
763,23041
764,1001
765,416
766,65056
767,84649
768,7771
769,1431
770,4058
771,64951
772,63916
773,23063
774,81671
775,10513
776,5424
777,124925
778,1975
779,28968
780,29998
781,56848
782,6141
783,770
784,79763
785,11338
786,29924
787,55588
788,10838
789,8776
790,2817
791,57143
792,3029
793,6047
794,841
795,22998
796,55726
797,51768
798,53340
799,10077
800,8839
801,10402
802,9914
803,4804
804,50937
805,6873
806,28996
807,23534
808,8625
809,54929
810,9170
811,5476
812,10147
813,6558
814,28966
815,2139
816,1265
817,10347
818,9627
819,11218
820,53339
821,55711
822,8537
823,1117
824,22904
825,5378
826,10362
827,10203
828,6882
829,23294
830,8943
831,7629
832,9351
833,4913
834,54887
835,2773
836,3843
837,4942
838,10885
839,5586
840,57418
841,9697
842,9423
843,9340
844,55388
845,1606
846,2065
847,91526
848,3735
849,23536
850,10954
851,55633
852,4710
853,23013
854,4638
855,55854
856,6416
857,55248
858,9748
859,51167
860,1308
861,119391
862,55176
863,7089
864,51665
865,83641
866,4199
867,23216
868,8621
869,10797
870,84679
871,55810
872,4904
873,5141
874,5525
875,1496
876,1994
877,7075
878,57609
879,6602
880,9682
881,4802
882,84217
883,6550
884,25791
885,259266
886,8832
887,64834
888,30834
889,744
890,51208
891,27107
892,4287
893,9950
894,2263
895,55631
896,51015
897,2009
898,60487
899,55623
900,91283
901,26153
902,55102
903,10565
904,348158
905,57623
906,9650
907,10734
908,2235
